STK,EXP,NIFTY,SYMBOL,OI,CHNGOI,OICHNGPER,TTV,IV,LTP,CHNG,PCHNG,TBQ,TSQ,BQ,BP,AQ,AP,SPOT
18300,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE18300.00,12697,-2274,-15.18936610780843,63168,49.75,0.05,-0.95,-95.0,0,75350,0,0.0,21650,0.05,19979.15
18350,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE18350.00,240,141,142.42424242424244,1456,88.18,1609.1,209.0999999999999,14.93571428571428,8700,6300,2800,1608.8,600,1650.85,19979.15
18350,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE18350.00,2331,-884,-27.49611197511664,19234,48.3,0.05,-1.0,-95.23809523809524,0,65750,0,0.0,2650,0.05,19979.15
18400,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE18400.00,149,-45,-23.195876288659797,1057,77.91,1573.0,141.4000000000001,9.87706063146131,6400,6300,50,1570.0,600,1600.5,19979.15
18400,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE18400.00,9752,-5000,-33.893709327548805,99570,46.86,0.05,-1.05,-95.45454545454544,0,92350,0,0.0,12550,0.05,19979.15
18450,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE18450.00,72,-31,-30.097087378640776,693,0.0,1515.35,143.8499999999999,10.488516223113372,5100,5700,600,1508.35,1000,1578.5,19979.15
18450,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE18450.00,2383,-2166,-47.61486040888107,21330,45.41,0.05,-1.05,-95.45454545454544,0,77900,0,0.0,16750,0.05,19979.15
18500,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE18500.00,1119,-1760,-61.1323376172282,3197,80.14,1482.65,154.10000000000014,11.599111813631414,6100,7300,50,1478.55,1000,1483.65,19979.15
18500,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE18500.00,42731,-38298,-47.26455960211776,402872,43.97,0.05,-1.25,-96.15384615384616,1300,70400,1300,0.05,1550,0.1,19979.15
18550,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE18550.00,85,-4,-4.49438202247191,593,0.0,1415.2,125.45000000000005,9.726691219228536,5500,6300,600,1408.35,600,1450.85,19979.15
18550,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE18550.00,2634,-2094,-44.28934010152284,39129,42.53,0.05,-1.15,-95.83333333333331,0,82200,0,0.0,13650,0.05,19979.15
18600,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023CE18600.00,178,-233,-56.69099756690998,607,76.22,1385.0,195.0,16.386554621848738,10650,6300,100,1380.0,600,1395.15,19979.15
18600,20-Jul-2023,NIFTY,OPTIDXNIFTY20-07-2023PE18600.00,12342,-20579,-62.51025181495094,263650,41.09,0.05,-1.25,-96.15384615384616,0,128500,0,0.0,61600,0.05,19979.15
